"","Estimate","Std.err.","t-ratio(0)","p(1-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"alpha_base",0,NA,NA,NA,NA,NA,NA
"gamma_RefinedGrains",75.8009870917768,1.85162082457604,40.9376401937652,0,2.55239832050258,29.6979458428931,0
"gamma_StarchyVegetables",224.369914952512,3.47001213284383,64.6596917713457,0,3.18957358147052,70.3447997738521,0
"gamma_Vegetables",164.853375151889,2.56867484693278,64.1783740549093,0,2.82740141991725,58.3056137662667,0
"gamma_Fruits",181.117214140575,2.78117801164274,65.1224816902661,0,2.99829535965971,60.406728629007,0
"gamma_DairyFoods",59.8268761046842,0.929103271739489,64.3920626742331,0,0.992912275687315,60.2539394160182,0
"gamma_Beef_and_lamb",108.397216860379,1.85390888729289,58.4695491797673,0,1.75940918245576,61.6100097358137,0
"gamma_Pork",62.8032640222361,1.11162583057415,56.496765633629,0,0.995374412117204,63.0951160263914,0
"gamma_Chicken_and_other_poultry",111.556126517122,1.74695097170947,63.8576172564017,0,1.65796145906038,67.2851144443036,0
"gamma_Eggs",74.1391962882256,1.2048948328692,61.5316741890898,0,1.00084777527001,74.0763961514767,0
"gamma_Fish",62.1028339581027,1.22502510109226,50.6951522076818,0,0.980367584249445,63.3464783575517,0
"gamma_Legumes",107.319600412903,2.45656162696982,43.6869155793507,0,1.55592317408728,68.9748711248921,0
"gamma_Nuts",37.1300427541637,1.1316570328712,32.8103318193133,0,0.818187222091195,45.3808636356646,0
"gamma_SoyFoods",48.3679834600963,3.28112725257946,14.7412702211021,0,2.14039271202576,22.5977145167528,0
"gamma_meatOther",43.9360174149955,0.699060464675755,62.8500961435064,0,0.678662178780296,64.739157107529,0
"gamma_AddedFats",77.7479155424469,1.25203276403882,62.0973490275501,0,1.1082105447195,70.156267608991,0
"gamma_AddedSugars",243.272894150274,3.79788128475348,64.0548969044632,0,4.1905723002095,58.0524273827974,0
"delta_RefinedGrains",-4.54353192233464,0.0245732370953044,-184.897573922113,0,0.0429973149812221,-105.670131363293,0
"delta_RefinedGrains_npersonas",-0.0107392645333273,0.00558300001331027,-1.92356519930577,0.0272045533442741,0.00970533490356895,-1.10653209188878,0.268496281602586
"delta_StarchyVegetables",-7.01896367425011,0.0220075012091857,-318.935057984705,0,0.0382055920403315,-183.715610710615,0
"delta_StarchyVegetables_npersonas",-0.0959013575790963,0.00621466742726159,-15.4314544907762,0,0.0110752794941771,-8.65904626872099,0
"delta_Vegetables",-5.75718237770465,0.0206892040284051,-278.269882678926,0,0.0374788132369466,-153.611650969493,0
"delta_Vegetables_npersonas",-0.125784651694974,0.00586258978074565,-21.4554755490628,0,0.0105536145393408,-11.9186323535017,0
"delta_Fruits",-5.71646693950294,0.0207717945715619,-275.203325346246,0,0.0361046260855538,-158.330595252729,0
"delta_Fruits_npersonas",-0.158824027275623,0.00591963261421381,-26.8300480158626,0,0.0102488715148371,-15.4967331813748,0
"delta_DairyFoods",-4.66556740085347,0.0204157992215278,-228.527296444696,0,0.0340296402784192,-137.103047892407,0
"delta_DairyFoods_npersonas",-0.127737514230631,0.00579285761473641,-22.050863792281,0,0.00974137924535389,-13.1128776545225,0
"delta_Beef_and_lamb",-4.84760690276242,0.0222959384984684,-217.421074385158,0,0.0366262776675314,-132.353250493149,0
"delta_Beef_and_lamb_npersonas",-0.10520192678014,0.00627485190733197,-16.7656429719425,0,0.0106717027209783,-9.8580263647464,0
"delta_Pork",-5.1839778768481,0.0236085657413231,-219.580381699103,0,0.0376661438270383,-137.62964163926,0
"delta_Pork_npersonas",-0.148279327595536,0.00661699522695728,-22.408861199031,0,0.0109658513492217,-13.5219166185451,0
"delta_Chicken_and_other_poultry",-5.29773597506147,0.0215999772651175,-245.265812553283,0,0.0364501283873739,-145.34203881972,0
"delta_Chicken_and_other_poultry_npersonas",-0.109443642105981,0.00614405190382312,-17.8129423089476,0,0.0105345889795444,-10.3889807488924,0
"delta_Eggs",-5.72903997455451,0.0232599158590519,-246.305275103778,0,0.0386519777997042,-148.22113383803,0
"delta_Eggs_npersonas",-0.147678323751211,0.00660086695629307,-22.3725648053577,0,0.0112948781698505,-13.074804484869,0
"delta_Fish",-5.15882501239956,0.0258565351816929,-199.517258447379,0,0.0376538890017261,-137.006432779442,0
"delta_Fish_npersonas",-0.1861347664836,0.00730006369560956,-25.4976907387186,0,0.0109629760810956,-16.9784887886938,0
"delta_Legumes",-6.73639366885796,0.0302112784259915,-222.976120833817,0,0.0433925204618199,-155.243198531995,0
"delta_Legumes_npersonas",-0.172102278861463,0.00832188245646938,-20.6806909087826,0,0.0124188517047822,-13.8581475125588,0
"delta_Nuts",-5.88376013867289,0.0369014136810446,-159.445385738575,0,0.0436238057992453,-134.874984675791,0
"delta_Nuts_npersonas",-0.200892801659201,0.0102868948322084,-19.5290031575128,0,0.0124806649749988,-16.0963219557314,0
"delta_SoyFoods",-6.97187028347064,0.0773932812213617,-90.0836632514594,0,0.0851690961568135,-81.8591554691859,0
"delta_SoyFoods_npersonas",-0.19840463550106,0.0214361376938738,-9.25561490294782,0,0.0240642127754372,-8.24480058219796,2.22044604925031e-16
"delta_meatOther",-5.03381617856036,0.0217352830542284,-231.596532053493,0,0.0359152947715761,-140.158008184975,0
